list of application features!;;;cena;pomembnost
;;;;
(table management)!;;;12;2
(customer veri?cation process);;;5;4
(client veri?cation wizard)!;;;2;4
(customer pro?le view);;;1;6
(customer menu view);;;7;7
(customer order view);;;4;7
(client tables entry form - seat  # at ?rst, NFC id / geo loc. later )!;;;1;8
(client orders view)!;;;9;8
(authentication, establish a connection with restaurant via their WLAN);;;5;9
(client menus entry form)!;;;3;9
(customer registration process);;;2;10
ÊÊ Ê(with certi?cate / billing info);;;;
ÊÊ Ê Ê Ê (automate veri?cation with certi?cate - accept only from registered authority);;;;
ÊÊ Ê Ê Ê (validate billing info by take a small charge which will be returned back at the next purchase);;;;
ÊÊ Ê(with personal document at restaurant authority);;NAVPI‰NA OS = (LIST OF FEATURES) po pomembnosti;;
ÊÊ Ê (after successful authentication -> insert table number);;ZGORAJ manj pomembni, spodaj bolj pomembni;;
ÊÊ Ê (* iBeacon: Òindoor positioning systemÓ or NFC chip at table for automate location positioning);;;;
ÊÊ Ê ;;;;
ÊÊ Ê(items overview: foods, drinks, desertsÉ);;;;
ÊÊ Ê(adding items to order list);;;;
ÊÊ (order list overview - editable before ordered);;;;
ÊÊ (open order - send order list to restaurant);;;;
ÊÊ (customer food delivery con?rmation);;;;
ÊÊ (order bill - checkout);;;;
ÊÊ (order feedback);;;;
ÊÊ (*billing information);;;;
ÊÊ (user data and statistics);;;;
;;;;
"    (foods, drinks, deserts; response times for each one)!";;;;
   (accepting orders)!;;;;
   (close order - checkout con?rmation)!;;;;
   (customer username -> detail information -> customer personal document -> con?rmation)!;;;;
